Game is WIN
KTS	ID	FD	KD	LT
23	6	0	22	22
34	7	0	33	33
55	17	0	27	27
56	16	0	31	31
59	22	1	23	24
67	3	1	65	66
74	33	1	22	23
94	13	0	84	84
98	36	1	40	41
103	34	0	50	50
103	50	1	27	28
106	31	0	56	56
110	43	0	46	46
110	1	0	109	109
110	44	13	31	44
112	27	0	68	68
115	12	0	105	105
118	49	29	15	44
142	48	43	27	70
163	45	56	41	97
196	47	48	78	126
247	39	107	81	188
250	40	79	111	190
451	26	212	197	409
482	35	146	283	429
590	28	204	340	544
1300	23	448	816	1264
1466	25	288	1138	1426
3520	19	586	2904	3490
4807	11	1458	3339	4797
6830	20	561	6238	6799
18256	14	1458	16788	18246
26395	10	7	26386	26393
67267	8	4905	62361	67266
608944	46	28355	580521	608876
615868	32	27523	588294	615817
624030	18	27003	596999	624002
655556	2	18297	637258	655555
668256	42	28139	640054	668193
713788	38	27801	685929	713730
715943	21	27077	688833	715910
717746	30	27429	690268	717697
721572	29	27127	694397	721524
722645	37	27570	695017	722587
733721	41	27800	705859	733659
747154	24	27111	720006	747117
748703	4	23502	725200	748702
753987	15	27009	726968	753977
755602	9	26739	728862	755601
1076767	5	6834	1069932	1076766
